andamentos_certos,andamentos_errados
Citação ou notificação da parte,Conclusos para julgamento
Concluso para Despacho,Julgado improcedente o pedido
Juntada de Petição,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de apelação
Encaminhado edital/relação para publicação,Conclusos para decisão
Proferido despacho de mero expediente,Juntada de certidão
Conclusos,Proferido despacho de mero expediente
Juntada de documento,Determinada Requisição de Informações
Juntada de Petição,Expedição de Outros documentos.
Conclusos,Juntada de certidão
Juntada de documento,Conclusos para decisão
Juntada de Petição,Juntada de certidão
Concluso para Despacho,Juntada de Petição de certidão
Conclusos,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Juntada de documento,Transitado em julgado em 21/02/2019
Juntada de Ofício,Arquivado Definitivamente
Proferido despacho de mero expediente,Distribuído por sorteio
Prazo alterado pelo ajuste na tabela de feriados,Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Juntada de documento,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Juntada de Aviso de Recebimento (AR),Conclusos para decisão
Juntada de Aviso de Recebimento Digital (Cumprido),Concedida a Antecipação de tutela
Concluso para Despacho,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Concluso para Despacho,Expedição de Aviso de recebimento (AR).
Juntada de documento,Expedição de Aviso de recebimento (AR).
Expedição de Carta,Juntada de Petição de contestação
Concluso para Despacho,Juntada de Petição de contestação
Juntada de Petição,Juntada de Petição de substabelecimento
Expedição de Carta,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Publicado,Conclusos para despacho
Certidão de designação de sessão conciliação,Proferido despacho de mero expediente
Audiência Designada,Conclusos para julgamento
Concedida a Antecipação de tutela,Juntada de Petição de petição
Conclusos,Juntada de citação
Processo Distribuído por Sorteio,Juntada de Petição de petição
Concluso para Despacho,Juntada de Petição de petição
Decorrido prazo,Julgado procedente o pedido
juntada de,Expedição de Outros documentos.
Expedição de Termo de Audiência,Expedição de Outros documentos.
Juntada de Petição,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Juntada de Aviso de Recebimento (AR),Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Juntada de Aviso de Recebimento (AR),Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para despacho
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Expedição de Carta,Arquivado Definitivamente
Expedição de Carta,Juntada de Petição de petição
Expedição de Ato Ordinatório,Processo Desarquivado
Audiência Designada,Conclusos para despacho
Juntada de Petição,Proferido despacho de mero expediente
Concluso para Despacho,Expedição de Intimação.
Expedição de Ato Ordinatório,Distribuído por sorteio
Juntada de Aviso de Recebimento (AR),Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Expedição de Carta,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Expedição de Carta,Conclusos para decisão
Expedição de Carta,Concedida a Antecipação de tutela
Audiência Designada,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Concedida a Medida Liminar,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Concluso para Despacho,Expedição de Aviso de recebimento (AR).
Recebidos os autos,Expedição de Aviso de recebimento (AR).
Processo Distribuído por Encaminhamento,Juntada de Petição de contestação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de contestação
Encaminhado edital/relação para publicação,Juntada de Petição de substabelecimento
Certidão emitida,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Não recebido o recurso,Conclusos para despacho
Concluso para Decisão Interlocutória,Proferido despacho de mero expediente
Concluso para Despacho,Conclusos para julgamento
Juntada de Petição,Juntada de Petição de petição
Processo entranhado,Juntada de citação
Recurso interposto,Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de petição
Encaminhado edital/relação para publicação,Julgado procedente o pedido
Certidão emitida,Expedição de Outros documentos.
Julgado procedente em parte do pedido,Expedição de Outros documentos.
Concluso para Sentença,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Concluso para Despacho,Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Juntada de Petição,Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para despacho
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Citação ou notificação da parte,Arquivado Definitivamente
Convertido(a) o(a) Julgamento em Diligência,Juntada de Petição de petição
Concluso para Despacho,Processo Desarquivado
Convertido(a) o(a) Julgamento em Diligência,Conclusos para despacho
Concluso para Despacho,Proferido despacho de mero expediente
Certidão emitida,Expedição de Intimação.
Certidão emitida,Distribuído por sorteio
Concluso para Despacho,Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Juntada de Petição,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Proferido despacho de mero expediente,Conclusos para decisão
Concluso para Despacho,Concedida a Antecipação de tutela
Expedição de Termo de Audiência,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Juntada de Petição,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Juntada de Aviso de Recebimento (AR),Expedição de Aviso de recebimento (AR).
Processo Distribuído por Sorteio,Expedição de Aviso de recebimento (AR).
Expedição de Carta,Juntada de Petição de contestação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de contestação
Encaminhado edital/relação para publicação,Juntada de Petição de substabelecimento
Audiência Designada,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Processo Distribuído por Sorteio,Conclusos para despacho
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Processo Distribuído por Sorteio,Conclusos para julgamento
Recebidos os autos,Juntada de Petição de petição
Processo Distribuído por Encaminhamento,Juntada de citação
Conclusos,Juntada de Petição de petição
Concluso para Despacho,Juntada de Petição de petição
Juntada de Petição,Julgado procedente o pedido
Juntada de Petição,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Outros documentos.
Encaminhado edital/relação para publicação,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Proferido despacho de mero expediente,Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Concluso para Despacho,Juntada de Petição de petição
Juntada de Petição,Conclusos para despacho
Expedição de Termo de Audiência,Proferido despacho de mero expediente
Juntada de Petição,Arquivado Definitivamente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de petição
Encaminhado edital/relação para publicação,Processo Desarquivado
Proferido despacho de mero expediente,Conclusos para despacho
Audiência Designada,Proferido despacho de mero expediente
Concluso para Despacho,Expedição de Intimação.
Juntada de Petição,Distribuído por sorteio
Certidão emitida,Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Expedição de Carta,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Juntada de Petição,Conclusos para decisão
Proferido despacho de mero expediente,Concedida a Antecipação de tutela
Conclusos,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Processo Distribuído por Sorteio,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Concluso para Sentença,Expedição de Aviso de recebimento (AR).
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Aviso de recebimento (AR).
Encaminhado edital/relação para publicação,Juntada de Petição de contestação
Proferido despacho de mero expediente,Juntada de Petição de contestação
Juntada de Petição,Juntada de Petição de substabelecimento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Conclusos para despacho
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Audiência Designada,Conclusos para julgamento
Decorrido prazo,Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de citação
Encaminhado edital/relação para publicação,Juntada de Petição de petição
Concluso para Sentença,Juntada de Petição de petição
Proferido despacho de mero expediente,Julgado procedente o pedido
Conclusos,Expedição de Outros documentos.
Juntada de documento,Expedição de Outros documentos.
Juntada de mandado,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Juntada de Petição,Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Juntada de Petição,Juntada de Petição de petição
Juntada de documento,Conclusos para despacho
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Processo Desarquivado
Juntada de documento,Conclusos para despacho
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Expedição de Intimação.
Juntada de documento,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Juntada de documento,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Juntada de documento,Conclusos para decisão
Juntada de documento,Concedida a Antecipação de tutela
Juntada de documento,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Expedição de documento,Expedição de Aviso de recebimento (AR).
Ato Ordinatório - Intimação dos Advogados das Partes,Expedição de Aviso de recebimento (AR).
Concluso ao juiz,Juntada de Petição de contestação
Concluso ao juiz,Juntada de Petição de contestação
Entrada de petição de acompanhamento,Juntada de Petição de substabelecimento
Concluso ao juiz,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Concluso ao juiz,Conclusos para despacho
Entrada de petição de acompanhamento,Proferido despacho de mero expediente
Juntada de documento,Conclusos para julgamento
Expedição de documento,Juntada de Petição de petição
Expedição de documento,Juntada de citação
Concluso ao juiz,Juntada de Petição de petição
Autuação,Juntada de Petição de petição
Processo apto a ser distribuído,Julgado procedente o pedido
Em classificação,Expedição de Outros documentos.
Distribuição por sorteio,Expedição de Outros documentos.
Protocolizada Petição,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Certidão emitida,Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Certidão emitida,Juntada de Petição de petição
Proferido despacho de mero expediente,Conclusos para despacho
Conclusos,Proferido despacho de mero expediente
Transitado em Julgado,Arquivado Definitivamente
Decorrido prazo,Juntada de Petição de petição
Juntada de Petição,Processo Desarquivado
Proferido despacho de mero expediente,Conclusos para despacho
Concluso para Despacho,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Intimação.
Encaminhado edital/relação para publicação,Distribuído por sorteio
Certidão emitida,Audiência conciliação designada para   02/05/2018 13:00 5º Juizado Especial Cível e Criminal.
Certidão emitida,Audiência conciliação redesignada para   12/04/2018 10:30 5º Juizado Especial Cível e Criminal.
Certidão emitida,Conclusos para decisão
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concedida a Antecipação de tutela
Julgado procedente em parte do pedido,Audiência conciliação redesignada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Juntada de Petição,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Concluso para Sentença,Expedição de Aviso de recebimento (AR).
Juntada de Petição,Expedição de Aviso de recebimento (AR).
Encaminhado edital/relação para publicação,Juntada de Petição de contestação
Certidão emitida,Juntada de Petição de contestação
Proferido despacho de mero expediente,Juntada de Petição de substabelecimento
Concluso para Despacho,Audiência conciliação realizada para   12/04/2018 10:30 05ª Unidade do Juizado Especial Cível.
Juntada de Petição,Conclusos para despacho
Certidão emitida,Proferido despacho de mero expediente
Juntada de documento,Conclusos para julgamento
Expedição de Termo de Audiência,Juntada de Petição de petição
Certidão emitida,Juntada de citação
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Juntada de Petição de petição
Certidão emitida,Julgado procedente o pedido
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Expedição de Outros documentos.
Juntada de Petição,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 04/10/2019 23:59:59.
Juntada de documento,Decorrido prazo de PAULO ANDRE LIMA AGUIAR em 14/10/2019 23:59:59.
Audiência Designada,Juntada de Petição de petição
Expedição de Mandado,Conclusos para despacho
Expedição de Mandado,Proferido despacho de mero expediente
Expedição de Termo de Audiência,Arquivado Definitivamente
Convertido(a) o(a) Julgamento em Diligência,Juntada de Petição de petição
Audiência Redesignada,Processo Desarquivado
Audiência Redesignada,Conclusos para despacho
Juntada de Petição,Proferido despacho de mero expediente
Certidão emitida,Expedição de Intimação.
Juntada de documento,Protocolado
Certidão emitida,Permitir distribuição
Juntada de documento,Em classificação
Juntada de documento,Distribuição automática
Certidão emitida,Concluso
Juntada de documento,Expedição de carta de citação
Juntada de documento,Expedição de carta
Certidão emitida,Aguardando designação de audiência
Expedição de Mandado,Audiência de conciliação designada
Expedição de Mandado,Expediente
Expedição de Mandado,Aguardando realização de audiência 
Certidão emitida,Audiência de conciliação realizada
Proferido despacho de mero expediente,Juntada de documento
Concluso para Despacho,Autos entregues com carga/vista ao advogado
Audiência Redesignada,Entrada de petição de acompanhamento
Certidão emitida,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso ao juiz
Encaminhado edital/relação para publicação,Juntada de documento
Certidão emitida,Concluso ao juiz
Decisão Proferida,Juntada de documento
Concluso para Decisão Interlocutória,Entrada de petição de acompanhamento
Juntada de Petição,Despacho publicado no diário da justiça
Decorrido prazo,Despacho publicado no diário da justiça
Concluso para Despacho,Autos entregues com carga/vista ao advogado
Juntada de Petição,Entrada de petição de acompanhamento
Certidão emitida,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso ao juiz
Encaminhado edital/relação para publicação,Juntada de documento
Certidão emitida,Entrada de petição de acompanhamento
Decisão Proferida,Recebidos os autos
Concluso para Sentença,Recebidos os autos
Prazo alterado pelo ajuste na tabela de feriados,Juntada de documento
Processo Redistribuído por Sorteio,Despacho publicado no diário da justiça
Juntada de Parecer do Ministério Público,Despacho publicado no diário da justiça
Prazo alterado pelo ajuste na tabela de feriados,Concluso ao juiz
Certidão emitida,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Certidão emitida,Despacho/decisão disponibilizado no diário da justiça eletrônico
Proferido despacho de mero expediente,Julgado procedente o pedido
Concluso para Despacho,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Juntada de Petição,Despacho/decisão disponibilizado no diário da justiça eletrônico
Juntada de documento,Concluso ao juiz
Juntada de Petição,Juntada de petição de acompanhamento
Expedição de Termo de Audiência,Juntada de petição de acompanhamento
Audiência Designada,Juntada de petição de acompanhamento
Concluso para Despacho,Juntada de petição de acompanhamento
Certidão emitida,Concluso ao juiz
Juntada de Aviso de Recebimento (AR),Juntada de documento
Juntada de Petição,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Juntada de Petição,Despacho/decisão disponibilizado no diário da justiça eletrônico
Certidão emitida,Autos entregues com carga/vista ao advogado
Juntada de documento,Recebidos os autos
Juntada de documento,Juntada de documento
Certidão emitida,Juntada de documento
Juntada de documento,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Juntada de documento,Despacho/decisão disponibilizado no diário da justiça eletrônico
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Decorrido prazo
Expedição de Carta,Conclusos
Expedição de Mandado,Concluso para Despacho
Expedição de Mandado,Transitado em Julgado
Encaminhado edital/relação para publicação,Citação ou notificação da parte
Certidão emitida,Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Conversão para Processo Digital
Certidão emitida,Juntada de documento
Citação ou notificação da parte,Juntada de documento
Conclusos,Juntada de documento
Processo Distribuído por Sorteio,Juntada de documento
Concluso para Sentença,Juntada de documento
Conclusos,Juntada de documento
Conclusos,Juntada de documento
Expedição de Termo de Audiência,Juntada de documento
Juntada de Aviso de Recebimento (AR),Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Expedição de Carta,Juntada de documento
Encaminhado edital/relação para publicação,Juntada de Aviso de Recebimento (AR)
Encaminhado edital/relação para publicação,Juntada de documento
Audiência Designada,Juntada de Petição
Audiência Designada,Juntada de documento
Proferido despacho de mero expediente,Juntada de documento
Recebidos os autos,Juntada de documento
Remetidos os Autos,Juntada de documento
Processo Redistribuído por Sorteio,Juntada de documento
Recebido pelo Distribuidor,Juntada de documento
Remessa dos Autos para fins de Redistribuição,Juntada de documento
Remessa dos Autos para fins de Redistribuição,Juntada de documento
Juntada de documento,Juntada de documento
Concluso ao juiz,Juntada de Petição
Juntada de documento,Juntada de documento
Despacho/decisão disponibilizado no diário da justiça eletrônico,Juntada de documento
Juntada de documento,Juntada de documento
Concluso ao juiz,Juntada de documento
Autuação,Juntada de Petição
Distribuição por encaminhamento,Juntada de Petição
Em classificação,Juntada de documento
Processo apto a ser distribuído,Juntada de documento
Protocolizada Petição,Juntada de documento
Expedição de Termo de Audiência,Juntada de Petição
Concluso para Sentença,Juntada de documento
Juntada de Petição,Juntada de documento
Juntada de Petição,Juntada de documento
Concluso para Despacho,Juntada de documento
Juntada de Petição,Juntada de documento
Juntada de Petição,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Encaminhado edital/relação para publicação,Juntada de documento
Encaminhado edital/relação para publicação,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição
Encaminhado edital/relação para publicação,Juntada de documento
Proferido despacho de mero expediente,Juntada de documento
Audiência Designada,Juntada de documento
Proferido despacho de mero expediente,Juntada de documento
Concluso para Despacho,Juntada de Petição
Juntada de Petição,Juntada de documento
Certidão emitida,Juntada de documento
Certidão emitida,Juntada de documento
Expedição de Carta,Juntada de documento
Proferido despacho de mero expediente,Juntada de documento
Concluso para Despacho,Juntada de documento
Certidão emitida,Concluso para Despacho
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Conclusos,Juntada de Petição
Processo Distribuído por Sorteio,Concluso para Despacho
Juntada de Petição,Expedição de Ato Ordinatório
Certidão emitida,Encaminhado edital/relação para publicação
Conclusos,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Juntada de Petição
Processo Redistribuído por Sorteio,Juntada de Petição
Remetidos os Autos para o Distribuidor Local,Julgado procedente o pedido
Certidão emitida,Transitado em Julgado
Juntada de Aviso de Recebimento Digital (Cumprido),Juntada do cumprimento de sentença
Juntada de Aviso de Recebimento Digital (Rejeitado),Conclusos
Juntada de Aviso de Recebimento Digital (Cumprido),Juntada de Petição
Certidão emitida,Concluso para Despacho
Juntada de Aviso de Recebimento (AR),Juntada de documento
Juntada de Aviso de Recebimento (AR),Proferido despacho de mero expediente
Juntada de Petição,Expedição de Alvará
Certidão emitida,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Conclusos
Expedição de Carta,Certidão emitida
Expedição de Carta,Remetidos os Autos para o Distribuidor Local
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Processo Redistribuído por Sorteio
Certidão emitida,Certidão emitida
Encaminhado edital/relação para publicação,Conclusos
Certidão emitida,Citação ou notificação da parte
Despacho designando audiência,Encaminhado edital/relação para publicação
Audiência Designada,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Conclusos,Juntada de Petição
Juntada de Petição,Concluso para Despacho
Conclusos,Outras Decisões
Juntada de Petição,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Decorrido prazo
Ato Ordinatório - Intimação dos Advogados das Partes,Certidão emitida
Expedição de Termo de Audiência,Conclusos
Expedição de Ato Ordinatório,Juntada de Petição
Juntada de Aviso de Recebimento (AR),Distribuído por sorteio
Juntada de Petição,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Expedição de Carta,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para decisão
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Despacho designando audiência,Juntada de certidão
Audiência Designada,Expedição de Citação.
Conclusos,Juntada de Petição de contestação
Juntada de Petição,Juntada de Petição de documento de identificação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de petição
Encaminhado edital/relação para publicação,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Despacho determinado a emenda da inicial,Juntada de Petição de réplica
Conclusos,Conclusos para despacho
Processo Distribuído por Sorteio,Expedição de Outros documentos.
Concluso para Sentença,Juntada de Petição de petição
Expedição de Termo de Audiência,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Encaminhado edital/relação para publicação,Juntada de certidão
Proferido despacho de mero expediente,Conclusos para despacho
Audiência Designada,Julgado improcedente o pedido
Concluso para Despacho,Expedição de Outros documentos.
Juntada de Petição,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
Juntada de Petição,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Transitado em julgado em 09/03/2020
Encaminhado edital/relação para publicação,Arquivado Definitivamente
Proferido despacho de mero expediente,Distribuído por sorteio
Juntada de Petição,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Concluso para Despacho,Expedição de Outros documentos.
Certidão emitida,Conclusos para decisão
Juntada de Petição,Proferido despacho de mero expediente
Certidão emitida,Juntada de certidão
Juntada de Aviso de Recebimento (AR),Expedição de Citação.
Certidão emitida,Juntada de Petição de contestação
Expedição de Carta,Juntada de Petição de documento de identificação
Proferido despacho de mero expediente,Juntada de Petição de petição
Conclusos,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Processo Distribuído por Sorteio,Juntada de Petição de réplica
Juntada de documento,Conclusos para despacho
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Juntada de Petição,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Remessa dos autos à Vara de Origem,Juntada de certidão
Recebidos os Autos pela Unidade Judiciária,Conclusos para despacho
Recebidos os Autos pelo Advogado,Julgado improcedente o pedido
Autos Entregues em Carga ao Advogado,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
Encaminhado edital/relação para publicação,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
Proferido despacho de mero expediente,Transitado em julgado em 09/03/2020
Recebidos os autos,Arquivado Definitivamente
Remetidos os Autos,Distribuído por sorteio
Concluso para Despacho,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Remessa dos autos à Vara de Origem,Expedição de Outros documentos.
Recebidos os Autos pela Unidade Judiciária,Conclusos para decisão
Prazo alterado pelo ajuste na tabela de feriados,Proferido despacho de mero expediente
Autos Entregues em Carga ao Advogado,Juntada de certidão
Recebidos os Autos pelo Advogado,Expedição de Citação.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de contestação
Encaminhado edital/relação para publicação,Juntada de Petição de documento de identificação
Remetidos os Autos,Juntada de Petição de petição
Recebidos os autos,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Julgado improcedente o pedido,Juntada de Petição de réplica
Concluso para Sentença,Conclusos para despacho
Recebidos os Autos pela Unidade Judiciária,Expedição de Outros documentos.
Remessa dos autos à Vara de Origem,Juntada de Petição de petição
Prazo alterado pelo ajuste na tabela de feriados,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Recebidos os Autos pelo Advogado,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Autos Entregues em Carga ao Advogado,Juntada de certidão
Juntada de Petição,Conclusos para despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Julgado improcedente o pedido
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Proferido despacho de mero expediente,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
juntada de,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
Concluso para Despacho,Transitado em julgado em 09/03/2020
Concluso para Despacho,Arquivado Definitivamente
juntada de,Distribuído por sorteio
Remessa dos autos à Vara de Origem,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Recebidos os Autos pela Unidade Judiciária,Expedição de Outros documentos.
Prazo alterado pelo ajuste na tabela de feriados,Conclusos para decisão
Recebidos os Autos pelo Advogado,Proferido despacho de mero expediente
Autos Entregues em Carga ao Advogado,Juntada de certidão
Mandado devolvido,Expedição de Citação.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de contestação
Recebido o Mandado para Cumprimento,Juntada de Petição de documento de identificação
Expedição de Mandado,Juntada de Petição de petição
Encaminhado edital/relação para publicação,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Audiência Designada,Juntada de Petição de réplica
Juntada de documento,Conclusos para despacho
Em classificação,Expedição de Outros documentos.
Distribuição por encaminhamento,Juntada de Petição de petição
Concluso ao juiz,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Processo apto a ser distribuído,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Autuação,Juntada de certidão
Protocolizada Petição,Conclusos para despacho
Expedição de Termo de Audiência,Julgado improcedente o pedido
Juntada de Petição,Expedição de Outros documentos.
Certidão emitida,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
Juntada de Aviso de Recebimento (AR),Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
