andamentos_certos,andamentos_errados
Audiência Designada,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Conclusos,Juntada de Petição
Concluso para Despacho,Juntada de Petição
Juntada de Petição,Concluso para Despacho
Certidão emitida,Juntada de Petição
Proferido despacho de mero expediente,Concluso para Sentença
Concluso para Despacho,Julgado improcedente o pedido
Juntada de Petição,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Transitado em Julgado
Expedição de Ato Ordinatório,Expedição de Certidão de Arquivamento
Encaminhado edital/relação para publicação,Arquivado Definitivamente
Proferido despacho de mero expediente,Processo Distribuído por Sorteio
Concluso para Despacho,Citação ou notificação da parte
Processo Redistribuído por Sorteio,Conclusos
Remetidos os Autos para o Distribuidor Local,Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Aviso de Recebimento Digital (Rejeitado),Audiência Designada
Expedição de Termo de Audiência,Expedição de Ato Ordinatório
Certidão emitida,Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Expedição de Carta
Certidão emitida,Expedição de Carta
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Expedição de Termo de Audiência
Certidão emitida,Conclusos
Certidão emitida,Juntada de Petição
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Certidão emitida,Proferido despacho de mero expediente
Certidão emitida,Expedição de Ato Ordinatório
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Encaminhado edital/relação para publicação
Expedição de Mandado,Juntada de Petição
Expedição de Mandado,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Petição
Audiência Designada,Proferido despacho de mero expediente
Expedição de Termo de Audiência,Conclusos
Juntada de Aviso de Recebimento (AR),Audiência Designada
Certidão emitida,Despacho designando audiência
Juntada de mandado,Expedição de Carta
Expedição de Carta,Expedição de Carta
Expedição de Mandado,Encaminhado edital/relação para publicação
Expedição de Termo de Audiência,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Audiência Designada,Remetidos os Autos para a Central de Conciliação
Juntada de Petição,Processo recebido pela Central de Conciliação
Audiência Designada,Juntada de documento
Expedição de Termo de Audiência,Sessão de Conciliação realizada sem êxito
Audiência Designada,Juntada de Petição
Audiência Designada,Certidão emitida
Proferido despacho de mero expediente,Remessa dos Autos a Vara de Origem - Central de Conciliação
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Concluso para Despacho,Juntada de Aviso de Recebimento (AR)
Certidão emitida,Concluso para Sentença
Proferido despacho de mero expediente,Julgado improcedente o pedido
Concluso para Despacho,Encaminhado edital/relação para publicação
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Ofício,Juntada de Petição
Juntada de documento,Conclusos
Juntada de documento,Recebido o recurso Com efeito suspensivo
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Petição
Juntada de documento,Certidão emitida
Juntada de documento,Remetido Recurso Eletrônico ao Tribunal de Justiça
Juntada de documento,Recebido Recurso Eletrônico
Juntada de documento,Conclusos
Juntada de documento,Certidão emitida
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Processo Distribuído por Sorteio
Juntada de Petição,Conclusos
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Expedição de Carta
Juntada de mandado,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Aviso de Recebimento (AR),Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de Aviso de Recebimento (AR),Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de mandado,Expedição de Carta
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Certidão emitida
Juntada de Aviso de Recebimento (AR),Juntada de Petição
Juntada de documento,Concluso para Decisão Interlocutória
Juntada de documento,Decisão Proferida
Juntada de Aviso de Recebimento (AR),Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Petição
Juntada de documento,Expedição de Ato Ordinatório
Juntada de documento,Conclusos
Juntada de documento,Decisão Proferida
Juntada de Aviso de Recebimento (AR),Certidão emitida
Juntada de documento,Expedição de Carta
